id,title,work_type,industry
118635,Account Officer,,
118634,Personal Assistant,,
118633,Grants Partnership and Business Development,,
118632,Executive Assistant to CEO / Legal Officer,,
118631,Signature Program Technical Lead,,
118630,Senior Reservoir Geophysicist,,
118629,"MICE (Meetings, Incentives, Conferences and Events) Consultant",,
118628,Art Instructor,,
118627,"Senior Associate, Legal Services (Lekki)",,
118626,Senior Data Scientist,,
118625,Field Coordinator,,
118624,Accounts Manager,,
118623,Corporate Sales Officer,,
118622,Marketing Executive,,
118621,HSE Supervisor,,
118620,"Head, Human Resources",,
118619,Supply Chain Mid Career (Re-advertised),,
118618,Security Intelligence Analyst - Port Harcourt,,
118617,Secretary,,
118616,Duty Manager,,
118615,Affiliate Executive,,
118614,Territory Mapping Analyst,,
118613,Machine Learning Engineer - Nigeria,,
118612,Sales Advisor,,
118611,Graduate Trainee,,
118610,Safety Officer,,
118609,Customer Relationship / Sales Officer,,
118608,"Specialist, Inventory",,
118607,Structural Design Engineer,,
118606,Medical Doctor,,
118605,Enterprise Sales Specialist,,
118604,Trade Finance Executive,,
118603,Admin Assistant,,
118602,Business Development Officer,,
118601,Quality Assurance / Quality Control Inspector,,
118600,Core Banking & Integration Officer (T24 Banking),,
118599,Commercial Graduate Trainee,,
118598,Personal Assistant to the CEO,,
118597,Human Resource and Corporates Affairs Manager,,
118596,IELTS Examiner,,
118595,P.H.E Teacher,,
118594,Nursery and Primary Teacher,,
118593,IT Administrator,,
118592,Head of Administration,,
118591,News Anchor & Current Affairs,,
118590,Aftersales Supervisor,,
118589,POS Technician (Kano),,
118588,Low Bed Driver,,
118587,Institutional Funding Advisor,,
118586,Maths/ICT Teacher,,
118585,Biology Teacher,,
118584,Administration Head,,
118583,Accountant,,
118582,School Bus Driver,,
118581,"team Lead, KYC / Due Diligence",,
118580,KYC / Due Diligence Officer,,
118579,Field Credit Officer,,
118578,Field Verification Officer,,
118577,Senior Frontend Engineer (React),,
118576,POS technician,,
118575,Field Verification Officer,,
118574,Head of Brand,,
118573,Regional Marketing Specialist (South South),,
118572,Field Verification Officer,,
118571,Enterprise Architect,,
118570,POS technician,,
118569,Field Verification Officer,,
118568,Senior Marketing Officer,,
118567,Field Credit Officer,,
118566,Learning and Development Content Creator,,
118565,Regional Marketing Specialist (South East),,
118564,Field Verification Officer,,
118563,Product Manager,,
118562,Data Steward,,
118561,Senior Penetration tester,,
118560,Product Manager,,
118559,Customer Success Representative,,
118558,Legal Counsel (Company Secretarial),,
118557,POS technician,,
118556,FX trader,,
118555,POS technician,,
118554,Field Credit Officer,,
118553,Field Credit Officer,,
118552,Field Verification Officer,,
118551,Field Credit Officer,,
118550,POS technician,,
118549,Legal Counsel,,
118548,Factory Electrical Engineer,,
118547,Barback,,
118546,HR Assistant,,
118545,"Group Head, Sales & Business Development",,
118544,Copywriter / Content Creator,,
118543,Personal Assistant to the CEO,,
118542,Storekeeper,,
118541,Recruiter,,
118540,Supply Chain Professional (Mid Career),,
118539,Field Sales Executive,,
118538,Corporate Sales Officer,,
118537,Agricultural Science teacher,,
118536,Rider,,
118535,Graphic Designer,,
118534,Videographer / Content Creator,,
118533,Accountant,,
118532,Regional Manager,,
118531,Hotel Internal Audit Officer,,
118530,Administrative Officer,,
118529,Marketing Manager,,
118528,Cashier,,
118527,Lounge Supervisor,,
118526,Standard Driver,,
118525,Class teacher,,
118524,Oncology Nurse,,
118523,French Instructor,,
118522,junior Finance Manager,,
118521,Medical Doctor,,
118520,Regional Marketing Specialist (North Central),,
118519,"Head, Company Account",,
118518,Head of School,,
118517,Senior Data Scientist,,
118516,Creche Care Giver,,
118515,ICU Nurse,,
118514,Accountant,,
118513,Sales Assistant,,
118512,Head of Business Operations,,
118511,Grade Class Instructor,,
118510,Accountant,,
118509,"Head, Business Development and Relationship Management",,
118508,Marketing Lead,,
118507,Field Officer,,
118506,Standard Driver,,
118505,Sales and Marketing Representative (Event Industry),,
118504,Head of Finance,,
118503,Administration Head,,
118502,Accountant,,
118501,Sales and Marketing Intern,,
118500,"Head, Company Account",,
118499,Field Security Officer,,
118498,Marketing Executive,,
118497,Sales Merchandiser - Abuja,,
118496,Core Banking & Integration Officer (T24),,
118495,Snr. Dotnet Developer,,
118494,Site Engineer,,
118493,Quality Assurance Associate,,
118492,Green and Sustainable Technologies Practice Lead,,
118491,Upper Primary Class Teacher,,
118490,Human Capital Manager,,
118489,Marine Junior Level Inspector,,
118488,Human Resources and Admin Officer,,
118487,Head of Business,,
118486,ICSS Supervisor,,
118485,Electrical Specialist,,
118484,Security and Conflict Analyst (Kaduna),,
118483,Senior Frontend Engineer (React),,
118482,Camp Admin Support Supervisor,,
118481,Manager Cost Controller,,
118480,Medical Representative - Edo,,
118479,Auto Workshop Supervisor,,
118478,Sales Team Lead,,
118477,Estate Surveyor and Valuer,,
118476,Trainee Accountant(s),,
118475,Sales Representative(s),,
118474,Sales Representatives (Apamda-Tradefair Branch),,
118473,Nursery and Primary School Teachers,,
118472,Procurement Officer,,
118471,Communication Officer,,
118470,Factory Manager - Kano,,
118469,Trailer Tipper Driver,,
118468,Sales Account Manager- D2B,,
118467,Music teacher,,
118466,technical Drawing teacher,,
118465,Primary 5/6 teacher,,
118464,Marine Safety Advisor,,
118463,Senior HR Officer,,
118462,In-House Counsel Personnel,,
118461,Marine Mid-Level Inspector,,
118460,Market Analyst,,
118459,Chemistry teacher,,
118458,Pattern Drafting Intern,,
118457,Quantity Surveyor,,
118456,Senior Sales Manager,,
118455,Welder,,
118454,Market Research Analyst,,
118453,Purchasing officer,,
118452,Site Engineer,,
118451,Green and Sustainable technologies Practice Lead,,
118450,Agency Banking Officer,,
118449,Regional Marketing Specialist (North East),,
118448,Field Credit Officer,,
118447,"Assistant, Marketing, CIB",,
118446,Field Officer,,
118445,Quality Assurance Officer,,
118444,Field Verification Officer,,
118443,Destination Consultant,,
118442,B2C Sales Executive,,
118441,Management trainee,,
118440,B2B Sales Executive,,
118439,Sales and Marketing Representative (Event Industry),,
118438,E-commerce Partner,,
118437,Business Development Assistant - Consulting,,
118436,Field Credit Officer,,
118435,Video Editor / Camera Operator,,
118434,Human Resources / Legal Officer,,
118433,trailer tipper Driver,,
118432,Field Verification Officer,,
118431,Fine Arts teacher,,
118430,Field Officer,,
118429,Presenter / Content Writer,,
118428,Procurement Officer,,
118427,Fraud Analyst,,
118426,Design Manager,,
118425,Factory Electrical Engineer,,
118424,Plumbing and Pipe Fitting Instructor,,
118423,Social Media Manager (Volunteer),,
118422,Fixed Income Sales Specialist,,
118421,Financial Planner,,
118420,Head Information Technology Sales,,
118419,Community Associate,,
118418,Back End Developer,,
118417,Technician (Power Generating Plant Operations & Maintenance),,
118416,Marketing Operations Specialist,,
118415,Production Manager,,
118414,Senior Digital Content Producer,,
118413,Billing Officer,,
118412,Strategic Partnership Manager - B2B,,
118411,HR/ADMIN Manager,,
118410,Fleet Manager,,
118409,Head of Marketing,,
118408,Monitoring & Evaluation Officer,,
118407,Internal Control Analyst,,
118406,Animal Nutritionist,,
118405,Compliance Manager,,
